3.7,9.7,19.66,47.67,102985.8,41265113,36.045,?,1.58
0.9,8.93,18.75,48.25,121697.8,41686560,36.889,?,1.53
6.2,9.62,16.94,51.26,145994.7,42086662,37.803,?,1.55
6.8,13.28,17.03,55.18,165801.8,42491198,38.943,?,1.56
7.3,14.03,22.28,58.26,200556.2,42918419,39.067,?,1.57
9.2,17.03,21.6,62.4,242481.1,43373151,40.009,?,1.71
7.7,14.32,18.9,63.65,277540.8,43848218,40.114,?,1.76
7,14.32,18.68,63.6,277540.8,44335028,40.467,?,1.654
4.5,12.12,20.26,65.72,315181.3,44820073,40.689,?,1.656
6.3,12.45,15.19,69.91,372493.4,45292522,40.641,?,1.634
4.8,12.44,17.74,86.44,490850.9,45751022,40.788,?,1.574
4.7,13.24,24.15,87.44,542001.8,46196054,40.921,?,1.537
8.3,14.98,17.21,90.43,537215.3,46620691,40.827,?,1.464
1.5,4.75,12.76,98.25,591453,47016957,41.057,?,1.425
1.9,4.75,27.64,102.46,651634.4,47379241,41.48,56.2,1.48
1.8,5,30.43,103.81,651634.4,47379241,41.48,56.2,1.48
2.1,5,26.9,104.23,651634.4,47379241,41.48,57.4,1.48
1.4,5,25.74,104.23,651634.4,47379241,41.48,58.5,1.48
1.1,5,29.01,104.95,651634.4,47379241,41.48,59.3,1.48
2.2,5,32.5,106.53,651634.4,47379241,41.48,59.4,1.48
3,5,27.43,108.33,651634.4,47379241,41.48,59.7,1.48
2.4,5,33.12,108.75,651634.4,47379241,41.48,59,1.48
3.5,5,30.84,107.6,651634.4,47379241,41.48,59.4,1.48
2.6,5.25,32.7,105.63,651634.4,47379241,41.48,59.8,1.48
2.2,5.25,33.82,105.01,651634.4,47379241,41.48,59.3,1.48
2.8,5.25,26.8,104.38,651634.4,47379241,41.48,57.9,1.48
3.4,5.25,28.66,104.17,707021.3,47706224,41.8,56.3,1.309
3.6,5,27.4,104.59,707021.3,47706224,41.8,56.1,1.309
4,5,26.3,104.9,707021.3,47706224,41.8,57.4,1.309
4.8,5,28.46,105.01,707021.3,47706224,41.8,59.4,1.309
5.3,5,28.37,105.01,707021.3,47706224,41.8,60.1,1.309
5,5,26.26,105.14,707021.3,47706224,41.8,60.1,1.309
4.8,4.75,26.35,104.93,707021.3,47706224,41.8,60.1,1.309
4.7,4.5,27.2,104.42,707021.3,47706224,41.8,59.4,1.309
3.3,4,23.43,102.26,707021.3,47706224,41.8,60.1,1.309
3.4,4,21.18,97.17,707021.3,47706224,41.8,60.3,1.309
3.4,4,19.44,94.26,707021.3,47706224,41.8,60.2,1.309
3.2,4,19.84,93.53,707021.3,47706224,41.8,58.9,1.309
2.6,4,19.48,94.26,784741.3,47999547,42.25,58.1,1.178
2.6,4,21.74,95.82,784741.3,47999547,42.25,58.2,1.178
2.3,4,26.31,99.56,784741.3,47999547,42.25,59.1,1.178
2.5,4,27.29,100.19,784741.3,47999547,42.25,60.5,1.178
3,4.25,25.31,100.91,784741.3,47999547,42.25,60.9,1.178
2.6,4.25,26.86,101.33,784741.3,47999547,42.25,61,1.178
2.1,4.25,27.02,101.85,784741.3,47999547,42.25,61,1.178
2.4,4.25,28.98,102.37,784741.3,47999547,42.25,60.1,1.178
3.1,4.25,30.45,107.25,784741.3,47999547,42.25,60.8,1.178
2.8,4.25,27.22,104.55,784741.3,47999547,42.25,60.9,1.178
3.5,4.25,26.89,102.89,784741.3,47999547,42.25,60.5,1.178
3.7,4.25,31.2,103.41,784741.3,47999547,42.25,59.5,1.178
3.8,4.25,33.51,103.72,837365,48260897,42.76,58.1,1.191
3.9,4.25,36.6,104.13,837365,48260897,42.76,57.9,1.191
4.5,4.25,31.04,103.93,837365,48260897,42.76,58.7,1.191
3.7,4.25,25.8,104.03,837365,48260897,42.76,59.6,1.191
3.2,4,29.56,104.55,837365,48260897,42.76,60.1,1.191
3,4,30.19,104.55,837365,48260897,42.76,60.1,1.191
3.2,3.75,30.54,104.86,837365,48260897,42.76,60.2,1.191
3,3.75,31.57,104.86,837365,48260897,42.76,59.3,1.191
3.3,3.75,29.2,104.97,837365,48260897,42.76,59.7,1.191
3.7,3.75,29.11,104.65,837365,48260897,42.76,60.1,1.191
3.4,3.75,30.41,104.34,837365,48260897,42.76,60,1.191
3.4,3.75,32.52,104.86,837365,48260897,42.76,59,1.192
3.4,3.75,33.05,105.49,908439.2,48493441,43.13,58.6,1.149
3.3,3.75,36.16,106.73,908439.2,48493441,43.13,58.7,1.149
3.1,3.75,35.76,107.04,908439.2,48493441,43.13,59.7,1.226
3.3,3.75,37.38,107.25,908439.2,48493441,43.13,60.5,1.226
3.3,3.75,39.88,108.19,908439.2,48493441,43.13,60.6,1.226
3.6,3.75,37.05,109.02,908439.2,48493441,43.13,60.8,1.226
4.4,3.75,43.8,109.4,908439.2,48493441,43.13,60.6,1.226
4.8,3.5,42.12,110.34,908439.2,48493441,43.13,59.6,1.226
3.9,3.5,49.64,109.3,908439.2,48493441,43.13,60.6,1.226
3.8,3.5,51.76,105.35,908439.2,48493441,43.13,60.8,1.226
3.3,3.25,49.13,101.61,908439.2,48493441,43.13,60.5,1.226
3,3.25,43.45,100.88,908439.2,48493441,43.13,59.6,1.226
3.4,3.25,48.2,100.49,957447.8,49347461,42.86,58.4,1.226
3.4,3.25,51.75,100.96,957447.8,49347461,42.86,58.3,1.226
3,3.25,55.4,101.25,957447.8,49347461,42.86,59.4,1.244
3,3.25,49.72,101.15,957447.8,49347461,42.86,60.3,1.244
3.1,3.25,51.97,101.25,957447.8,49347461,42.86,60.8,1.297
